Database generated on 2021-06-06 17:05:29 for VAT4956 covering -620 to -510
Scores for Nebuchadnezzar 37 (Planetary Only)
Year   Score
-567 16.55408884510801
-599 9.246914003585154
-535 9.046581063287498
-565 9.044404602735447
-543 8.879710338211048
-591 8.563066820046954
-563 8.309022091523778
-532 8.131720641162445
-540 7.749627978732441
-575 7.724004026209331
-511 7.706974995742186
-533 7.565186255016059
-592 7.542259946500614
-597 7.440300921757688
-589 7.238171348634991
-568 7.216905126773456
-538 7.216381405193697
-559 7.136784536546836
-516 7.123631666596983
-564 6.93193647401793
-556 6.930002615060507
-530 6.875117165063444
-579 6.803431069451651
-578 6.783558998873143
-551 6.757880142607883
-544 6.742277978847458
-521 6.7380599133036725
-602 6.722056630181999
-583 6.700357822634709
-603 6.636942088372326
-520 6.61105171537646
-519 6.490703718748012
-562 6.452754531529688
-594 6.431748913312408
-580 6.407318122128805
-539 6.395854669521074
-570 6.389650862835393
-512 6.387870040567619
-596 6.376287101708508
-613 6.373878740597324
-541 6.329289866753732
-536 6.3253280070856865
-566 6.274373818956722
-537 6.260155933581435
-590 6.224848024370019
-524 6.171915688570607
-604 6.112282800297958
-595 6.105870986196737
-546 6.094982930906255
-616 6.080643761085553
-514 6.066392649275588
-605 6.0437002565955655
-571 6.014154305954599
-615 5.976452634345026
-600 5.909980466693463
-569 5.891795859220785
-588 5.890111563064681
-510 5.857314628104982
-573 5.854506754911837
-548 5.825778605577853
-618 5.794447466836429
-534 5.783008398038932
-607 5.767751369764048
-513 5.706869128290794
-531 5.698563654155912
-560 5.6880027804937345
-572 5.68164349308101
-610 5.653331852789869
-620 5.646612531391761
-598 5.617333140324822
-517 5.428029570302362
-542 5.405204137282951
-545 5.3982389725203515
-550 5.3876590251465615
-593 5.381277456781937
-554 5.2976392329194155
-612 5.270936456532847
-576 5.174172109163004
-527 5.168713215176961
-601 5.07404024294412
-522 5.064660777523258
-586 5.0560462586198005
-518 5.010789602298303
-552 4.947519394712122
-528 4.9159348738323425
-577 4.885861648116385
-561 4.866308610745037
-558 4.853666264132407
-553 4.837879185405091
-529 4.818235694549603
-557 4.791967979155006
-581 4.782049113612196
-619 4.597916148184809
-555 4.310854257806273
-549 4.287897687671029
-609 4.273227357753823
-611 4.26902695344057
-525 4.21256455763119
-584 4.122185590501121
-608 4.082842089145434
-614 4.028479676950368
-574 4.003109017602846
-582 3.903321067080118
-547 3.898973601619726
-585 3.8597286039227874
-515 3.818857931940863
-606 3.762243433751771
-617 3.761110941837934
-526 3.7057214825747833
-587 3.642216818319044
-523 3.4802511118623416
