Database generated on 2021-06-01 18:50:20 for BM32234 covering -640 to -490
Scores for Nebuchadnezzar 14
Year   Score
-590 8.175890825250553
-589 7.662426047468071
-562 7.497058851117478
-561 7.079082718541898
-544 6.858360715366504
-580 6.7603814085315275
-617 6.623174559627977
-607 6.461607151032709
-625 6.406537951576615
-571 6.368358026204572
-598 6.175956276699018
-608 5.6958640590703995
-609 5.638012649384697
-599 5.627764248344227
-626 5.504025551914679
-618 5.36309442898939
-553 5.266877593812193
-627 5.120300461913802
-560 4.9134410194125815
-552 4.677159947310874
-579 4.638791368739249
-581 4.554691769276236
-572 4.447682662873536
-616 4.398100764568862
-636 4.364314171731351
-563 3.993568275829049
-635 3.7107786024391594
-570 3.666366312386531
-588 3.581500003552683
-551 3.5037882712749044
-578 3.3705175482171787
-597 3.365829945547784
-591 3.30796631551665
-559 3.01282254608197
-628 2.8206065580319404
-606 2.7540261567175466
-600 2.5487281327523337
-637 2.5436047080119684
-582 2.4356864353269083
-624 2.0991477740770494
-610 1.9480227765082665
-558 1.8760983167808851
-557 1.7976131616704516
-615 1.7301553375940208
-619 1.6463204680204115
-586 1.421096918357945
-614 1.2882072770269923
-621 1.2513190430954806
-620 1.2500000000000002
-556 1.2000000000044948
-587 1.2
-622 1.1675326442512945
-585 1.1608788613142775
-592 1.1272158040206528
-554 1.0031172543181754
-584 0.9904724522015791
-593 0.9884846236381036
-574 0.9721586340445917
-548 0.8938616015334988
-638 0.8898625775807169
-631 0.8617075442945408
-565 0.8552123982855478
-623 0.830821515038932
-577 0.8288794667498401
-595 0.8229164312911721
-567 0.814471952315773
-550 0.8014027887135435
-612 0.8002609813571174
-576 0.7981266982262273
-545 0.7941418565314466
-629 0.7891382255104523
-640 0.7831642774261424
-555 0.7789562237933927
-596 0.7752602720548927
-611 0.7751611391326452
-605 0.7731143970054271
-639 0.7685134362152757
-633 0.7567953120652169
-630 0.7504830660058598
-546 0.7409677247489046
-603 0.717753586444813
-549 0.7006058341523146
-632 0.6831615138304183
-568 0.6288921738537159
-569 0.5861272101077576
-604 0.5728097646598626
-634 0.5506693788475632
-601 0.5224585313739069
-566 0.5111417005325684
-613 0.41830224812641065
-564 0.40848155233007566
-594 0.36430690408478617
-583 0.359416891615438
-547 0.2661626952136775
-575 0.26460407299367383
-573 0.25008112097668395
-602 0.2000813759713672
