Database generated on 2021-06-08 07:20:55 for BM33066 covering -590 to -460
Scores for Cambyses 7 (Planetary Only)
Year   Score
-522 26.64462805520701
-546 16.407137501608094
-462 16.082176750033156
-582 15.093750110717284
-581 14.929839842495156
-498 14.802513789355098
-558 13.597653887844288
-475 13.327046983738148
-474 12.787902836527385
-570 12.600073441536427
-556 12.526617852575548
-511 12.249142557793306
-464 12.08994431081409
-486 12.077242209746707
-586 11.85185782752613
-521 11.71860714172674
-569 11.486089808270954
-554 11.35182618514026
-533 11.327396529724597
-487 11.296810182534445
-497 11.00540582805393
-492 10.908931682512419
-509 10.887272256943762
-463 10.87441814077408
-524 10.827483733282143
-580 10.804144810279128
-523 10.566211992501014
-557 10.501419564660187
-559 10.467313440399561
-499 10.394856418545256
-545 10.300552750595493
-534 10.256144016471525
-571 10.21092387331302
-520 10.14250877037415
-466 9.96638461447528
-535 9.944374897912116
-490 9.843579740704298
-584 9.7823022162813
-552 9.42618265597246
-530 9.283291925710166
-550 9.235266525225665
-510 9.19408143572197
-488 9.162952576968415
-473 8.854740614822054
-495 8.846045284143026
-548 8.803389286003133
-494 8.718237922354236
-573 8.673707728094962
-579 8.541088600471753
-547 8.48474230832563
-514 8.350676373004065
-583 8.254874686066394
-578 8.207139035756322
-567 8.190969249652664
-485 8.04402375829753
-479 8.028496517515597
-526 7.93852422330275
-562 7.926889395315295
-568 7.917929165585965
-482 7.84882422449832
-467 7.757085742782934
-539 7.662674096228698
-476 7.642933871609947
-477 7.563122908031449
-538 7.543247893292172
-537 7.510782368252127
-518 7.415907512622817
-465 7.401842420885965
-496 7.3392862613769845
-532 7.33926547575462
-551 7.219019745498466
-507 7.0748040265575485
-503 6.9924373171431515
-500 6.981334978240507
-505 6.952158161035533
-493 6.951659552692212
-468 6.945673340081787
-513 6.6815373206422235
-575 6.619109067668862
-506 6.586923773173944
-471 6.446522103161107
-560 6.440557059768248
-553 6.402622576541405
-484 6.302582459358957
-541 6.275337749950799
-544 6.180421299023976
-489 6.1376834151685475
-549 6.13273153605503
-585 6.116447163462758
-543 6.106977988963572
-519 6.106316182137527
-527 6.083265946875825
-555 6.056405794761439
-516 6.017819872083062
-501 5.867289198815119
-590 5.848683076062508
-525 5.822859800933055
-469 5.705792298954547
-574 5.626207712776291
-565 5.599577670780365
-512 5.5716507652713085
-481 5.4595187170746255
-588 5.45291797921943
-577 5.448034938771899
-536 5.414362885333007
-491 5.413107560159315
-515 5.317954199999187
-472 5.2762262587562265
-508 5.162288559562576
-483 5.146542377476123
-542 5.111957727603433
-531 5.106852999358365
-540 5.056700232486708
-529 5.001688720829593
-563 4.980871440371555
-572 4.931939761837595
-589 4.911320990758753
-576 4.888555693535822
-517 4.714350013387874
-528 4.633626118984178
-566 4.485802748803428
-470 4.483300966757995
-478 4.429741492848004
-561 4.338058410527939
-587 4.209637540272148
-502 4.171232811365975
-480 3.9489371524561356
-564 3.407082108246435
-504 3.018176975780952
