Database generated on 2021-01-23 01:34:17 for BM32312 covering -701 to -601
Scores for Shamash-shum-ukin year 16
Year   Score
-651 8.938408267151363
-652 7.767308106645541
-684 7.368912207528027
-619 7.006416108774792
-654 6.766114902333838
-683 6.651782536235054
-688 6.55512781270987
-626 6.513825173080288
-686 6.419666608524725
-620 6.4194622044737155
-685 6.402104435771809
-658 6.388815582958221
-650 6.3232196786120305
-627 6.222495286796006
-622 6.216891650047334
-653 6.172153502488356
-638 6.074596546828118
-621 6.047008426354104
-624 5.921741249950115
-623 5.921652859782022
-655 5.913204049457752
-656 5.888130321692842
-664 5.8655465082726455
-628 5.854309498227164
-659 5.796932978646015
-660 5.795703765876466
-630 5.776894030600845
-639 5.767323563615172
-605 5.764891961389734
-698 5.742110389596343
-682 5.74115637413042
-699 5.646588999322592
-687 5.609551853917114
-701 5.594684691094687
-667 5.594212434213081
-633 5.573260794907121
-604 5.570635538243882
-625 5.557707203022012
-681 5.539412552248232
-611 5.518173913140277
-671 5.501282605430716
-657 5.433987143817321
-642 5.40637113720918
-672 5.401446255289767
-629 5.337998674735607
-618 5.330437673473236
-679 5.299105780553175
-680 5.29403885084726
-613 5.273043244121576
-669 5.238068053911817
-637 5.205860549678521
-612 5.185544320919297
-607 5.183088242267564
-690 5.156606067499656
-601 5.1265948583108205
-643 5.126227319757267
-617 5.123508996598844
-689 5.10912332424334
-647 5.081573613674054
-609 5.07291290145698
-606 5.065813843276569
-670 5.060968413906658
-673 5.047209130009049
-696 5.0453969985878295
-666 5.038748318983563
-608 5.02557806909465
-634 5.025368507122623
-697 5.01554975141536
-694 5.002661072502074
-649 5.00057587667933
-616 4.947513603667784
-635 4.935690627699795
-677 4.921203626982025
-641 4.879630721499721
-700 4.867489570540562
-662 4.822006220807384
-692 4.811068112346031
-676 4.75297062778515
-603 4.723723384664369
-678 4.682915099062267
-675 4.615822003290418
-665 4.604847179868035
-602 4.572361779424343
-640 4.564511216689062
-674 4.5322977322050075
-691 4.512491152489517
-636 4.447305432694362
-632 4.401245293005593
-645 4.386648602261347
-695 4.385558841731667
-644 4.374448137883203
-610 4.371536339899105
-663 4.321253437712685
-615 4.278347399577084
-668 4.2696899326109286
-646 4.264510328662435
-631 3.9621123606466937
-661 3.848027775536899
-648 3.635230322080763
-693 3.507582646386508
-614 3.1373340294323695
