Database generated on 2021-01-22 22:00:15 for BM41222 covering -726 to -576
Scores for Shamash-shum-ukin year 14
Year   Score
-653 4.456919082654824
-606 4.143036646452031
-674 4.000000000000003
-700 3.8978570233445655
-685 3.8277325836673306
-595 3.674809248667197
-621 3.641877917073824
-666 3.585732338913679
-587 3.3986930084515397
-619 3.097692291435208
-642 3.062093499870398
-582 3.0218745432347363
-625 3.0196713661031094
-704 3.0116415663700944
-623 3.0059691036471947
-721 3.0000902838085355
-702 2.9653400828311365
-713 2.875826839724905
-638 2.8728367310689626
-670 2.8448065473593545
-627 2.837203840017665
-665 2.8323735715158325
-698 2.7808271285542756
-717 2.6755696256057573
-640 2.631049027835006
-689 2.5951259809499625
-681 2.5865783169261998
-696 2.49042086559268
-687 2.4845174016797524
-634 2.4821311463430087
-617 2.481723466653231
-719 2.4773729501352286
-661 2.474223650643717
-586 2.4712437922164545
-655 2.464719859105161
-657 2.4640444424917405
-591 2.443913837262258
-610 2.4013008724994536
-706 2.399245981160064
-602 2.392459597166891
-593 2.3923070701749976
-608 2.376007941758379
-672 2.3382132559743742
-711 2.3158427668143986
-668 2.2640267520807345
-644 2.2559260093061413
-597 2.254283140253241
-628 2.1918698551822096
-723 2.185767319168397
-676 2.1473385465180614
-633 2.1408930283739904
-612 2.131238768688716
-614 2.123622375366323
-691 2.122888577567666
-589 2.1045020776843746
-725 2.0840501352055067
-649 2.078992268681724
-629 2.07526268859843
-720 2.059870994806208
-693 2.056218221589159
-646 2.0499006510558933
-659 2.04682174969877
-708 2.0360435694045704
-686 2.008767243341777
-651 2.00796173605161
-599 2.0058521235687747
-715 2.0048812113956127
-631 2.0036863351912997
-678 2.0036634500830157
-648 2.003556716251727
-636 2.0029195271068945
-710 2.002249264544356
-663 2.0013597083089563
-695 2.0007350012170733
-616 2.0004352375284755
-584 2.00007116206558
-683 1.974825301601552
-607 1.889697894071993
-604 1.8598961186100629
-680 1.8458733045328048
-712 1.8234068277053028
-601 1.8229106044431187
-707 1.7790774471601885
-679 1.7773487714911906
-699 1.7665880075937899
-600 1.7658958007770083
-652 1.6486854809152607
-585 1.620675497178387
-664 1.597725002183671
-641 1.5778339167119289
-697 1.5663174443207242
-709 1.5612830329120848
-647 1.5503296339910515
-618 1.5380890227683623
-581 1.5359840096372708
-594 1.5137141632297606
-726 1.5086555036726297
-620 1.4955453473218792
-630 1.4705920031080135
-632 1.4672946812447207
-603 1.4414652144652822
-660 1.4127774633685466
-673 1.4075083400875719
-615 1.403793579752516
-694 1.3761051710999812
-650 1.3642668249199357
-662 1.3576308280219702
-583 1.3429096925779789
-598 1.3338212915652867
-677 1.3182612351470122
-635 1.2796999671147673
-714 1.2776044814105798
-682 1.2478034104016742
-654 1.2432866671732545
-645 1.2423846331475428
-724 1.2310844957501088
-667 1.2219833977259003
-692 1.2212971078810855
-639 1.2204942348086174
-613 1.2089080781267998
-588 1.2021669692794354
-688 1.1831460803362075
-722 1.1786813976456383
-626 1.148215999381435
-596 1.1456862257866887
-675 1.1385235347920066
-611 1.1371679263791257
-690 1.1355954754322455
-705 1.1294169371319736
-605 1.1261958524097913
-658 1.1081316603668525
-718 1.1078755383781629
-609 1.1056129059636914
-643 1.1047653914887987
-684 1.100749648465742
-592 1.0586146876743452
-701 1.0561196019930212
-671 1.0426316841886782
-622 1.0369026550789398
-656 1.031053486106619
-703 1.0282872896192266
-624 1.027253075649955
-590 1.0153246669134313
-716 1.0151241317814705
-669 1.015008452345043
-637 1.0032881742102369
