Database generated on 2021-01-22 22:00:15 for BM41222 covering -726 to -576
Scores for Kandalanu year 1
Year   Score
-614 4.371332859203885
-646 4.068260709882638
-693 3.8739473295950813
-678 3.8300915879071216
-725 3.803645967271202
-710 3.421641005613901
-605 3.3525166429180677
-599 3.2511363412723164
-631 3.156183675615891
-665 3.116651697722143
-635 3.106660102315495
-661 2.9864166773616
-667 2.971098382726191
-616 2.911819837534766
-695 2.8954549935794294
-650 2.8458753600187157
-652 2.6961459632157263
-706 2.6960293450785766
-682 2.6406355925174947
-714 2.604481933435154
-684 2.453750510417225
-712 2.4272291915032533
-637 2.4102042744516874
-724 2.4000000000000004
-722 2.4000000000000004
-711 2.4000000000000004
-707 2.4000000000000004
-692 2.4000000000000004
-675 2.4000000000000004
-660 2.4000000000000004
-632 2.4000000000000004
-628 2.4000000000000004
-615 2.4000000000000004
-613 2.4000000000000004
-600 2.4000000000000004
-630 2.389682526444153
-663 2.386417448318844
-669 2.245826563186757
-708 2.2310605602587414
-701 2.210908638857018
-654 2.1738064699960917
-622 2.146996852918038
-629 2.1432559941313833
-679 2.0589817329826645
-716 2.0411649791906035
-659 2.0248480570428082
-676 2.0224110074140853
-645 2.0042292729235904
-618 2.003412612100117
-619 2.0
-647 1.99564115956819
-648 1.9693903313748191
-721 1.9343093979216865
-698 1.9314103560248028
-643 1.912454633009794
-674 1.8922503508458441
-597 1.8889289023801803
-627 1.8581405971942553
-662 1.8515910720082747
-620 1.8317232351021016
-611 1.8124479463102081
-720 1.788141290642586
-633 1.7793682357790477
-705 1.731563630813196
-601 1.7283450584372186
-596 1.6979886681153034
-603 1.6592770992555235
-673 1.614024401037719
-699 1.5678115517459694
-697 1.5627281657210452
-671 1.5491341448087277
-606 1.536377461313589
-689 1.5220870630459538
-658 1.461255930700657
-680 1.4512602120894873
-703 1.4341106006934285
-639 1.4325273924849604
-691 1.4291573341945696
-592 1.4189752622206047
-694 1.4121429006367219
-688 1.4034619550915717
-718 1.4018828968496138
-624 1.4004814717770928
-656 1.4004428807093285
-626 1.4003682294499036
-726 1.4003198612853889
-664 1.4000178780713937
-641 1.4000133764304248
-607 1.4000038108499266
-594 1.4000019098368406
-686 1.4000000850015275
-677 1.400000010140988
-609 1.4000000008852016
-598 1.4000000000101152
-690 1.4000000000000485
-696 1.392203612031078
-617 1.3253177440481227
-709 1.316603284501486
-649 1.2337293254202453
-602 1.2000075819959624
-681 1.1550404616776702
-657 1.1523023212808676
-612 1.1348763209061323
-723 1.101925710791355
-685 1.0647875121228143
-704 1.0645274498493495
-644 1.0632428026368521
-717 1.0578539050429165
-625 1.0450761495220304
-719 1.0266283128888594
-595 1.0223544168704193
-593 1.0157037910321374
-638 1.0101862829264905
-642 1.0031795309928777
-651 1.0015897152283393
-672 1.0007906862043567
-687 1.0006250429053358
-640 1.0004610956057773
-610 1.0004338396621573
-608 1.000182132817225
-666 1.000018731860648
-634 1.000006919407545
-702 1.0000001466502644
-670 1.0000000725819043
-655 1.0000000003939564
-653 1.0000000000005513
-591 1.0000000000004916
-713 1.0000000000000961
-700 1.000000000000002
-623 1.0000000000000002
-715 1.0
-683 1.0
-668 1.0
-636 1.0
-621 1.0
-604 0.9997707909791399
