Opened database generated on 2021-06-02 19:22:35 for BM38462 covering -655 to -525
Scores for Nebuchadnezzar 1
Year   Score
-603 34.8808486015939
-621 31.039931081806856
-556 31.026407159815548
-574 28.55728995958826
-639 27.574138378112114
-622 26.56286076857368
-575 25.989488236463743
-593 24.770275656717374
-640 24.586663392094223
-620 24.083238576137674
-592 23.93232479494338
-584 23.293329540501162
-594 23.291491949469652
-555 23.189384167612694
-612 23.09913680549993
-641 22.86260050744074
-602 22.737370468972014
-650 22.14236154315557
-649 21.90522506127443
-573 21.155283621655176
-611 20.573379897017382
-565 20.31276606419337
-630 19.441851449807427
-631 18.45022012338557
-583 18.012737349833618
-576 17.888368305291216
-557 17.457825441848218
-566 17.291280687511858
-648 16.942544789862062
-564 16.817555856940164
-591 16.55179089390996
-613 16.37015494408812
-601 15.719956352797956
-632 15.515106199596506
-638 15.324076358873842
-554 15.277418933636387
-595 15.013592346568775
-623 14.920186913794225
-585 14.122992304891252
-619 13.347443917889667
-558 13.18263075256215
-572 12.910569211406006
-642 12.728899233837266
-577 12.677623313160453
-651 12.643712111201937
-614 12.591094802385387
-629 12.420446570574489
-604 11.90934715491757
-600 11.58770985466142
-567 11.399164512260812
-624 10.777924446745997
-647 10.581341364522508
-582 10.534111457406468
-643 10.195393327231656
-563 9.78774134403797
-553 9.70117804489948
-596 9.510216206949538
-628 8.923934335644091
-610 8.427454560723127
-580 8.14301913405428
-634 8.109269569407013
-653 8.099531157296125
-606 7.876124570358929
-646 7.791701085717527
-617 7.760943627501089
-654 7.550805028465429
-559 7.522140218713436
-569 7.343050904691917
-607 7.309053787815569
-560 7.275389669525563
-633 7.266737442703319
-599 7.251257012017128
-618 7.145849967062883
-588 6.945996050892212
-645 6.9174805649210995
-586 6.904637121727963
-587 6.8331681038399275
-578 6.78148426686192
-652 6.7721630312668175
-579 6.743250519596371
-609 6.727854142882844
-626 6.668077788932948
-571 6.660062460103995
-616 6.644539744099213
-625 6.602686229388678
-605 6.567015722312133
-561 6.409447153878683
-589 6.384358592835949
-568 6.281670335714801
-598 6.076486952610353
-635 6.040281184508459
-581 6.02143657136972
-615 5.920876103784779
-637 5.899291453179951
-570 5.757255688787896
-562 5.632795085886537
-590 5.615622245029166
-636 5.525848708756985
-627 5.503343813909438
-597 5.442472002643908
-644 5.06143587287735
-608 4.609605988610909
-655 3.9176669296318947
